"ID","Sex","Pop","Clade","Bib","Room","SVL","Position","Circuit","Treatment","Day...11","DATE","START_time","START_temp","Mass","Tgape_time_MAX","Vtmax_rate_CT_MAX","Tgape_rate","Vtmax","Tgape","Tincrease","Day...22","Date","START_time_MIN","START_temp_MIN","CTmin_time","Ctmin","CTmin_rate"
396,"Male","NRKT","South","Y","Room 2",67,"Lower",3,"Cool",9,"11/6/2024",14:55:00,32.87,12.93,14.6,0.9373738,0.9114804,42.361,44.4162,11.54,6,"24/6/2024","15:34",19.6269,22.81,9.7814,-0.4265885
304,"Male","STURT","North","Y","Room 3",70,"Lower",1,"Warm",5,"31/5/2024",12:31:00,34.12,11.79,14.12,0.9342789,0.8470159,40.8916,44.7692,10.65,2,"19/6/2024","16:36",18.5698,26.58,7.497,-0.5043787
369,"Male","KNGA","South","N","Room 1",70,"Lower",4,"Warm",2,"28/5/2024",10:36:00,33.44,14.86,10.25,0.9235549,0.9006621,40.956,41.894,8.46,5,"22/6/2024","11:50",17.7268,22.98,9.7142,-0.4215405
341,"Male","MR","North","N","Room 2",75,"Lower",1,"Warm",11,"12/6/2024",10:55:00,32.38,15.36,12.25,0.9235544,0.7839668,39.417,42.941,10.56,1,"18/6/2024","15:35",17.5753,41.63,7.1954,-0.24020788
378,"Male","KNGA","South","Y","Room 2",66,"Lower",3,"Cool",9,"11/6/2024",13:53:00,34.37,11.28,9.25,0.9214139,0.8682973,39.5616,41.0135,6.65,2,"19/6/2024","11:26",19.8327,27.63,8.1626,-0.4855645
405,"Male","NRKT","South","N","Room 3",60,"Upper",4,"Warm",4,"29/5/2024",14:08:00,32.94,11.71,8.08,0.9187946,1.115852,37.2014,40.9237,7.98,5,"22/6/2024","15:19",20.4284,45.9,5.7626,-0.399679
327,"Male","MR","North","Y","Room 2",60,"Upper",1,"Warm",5,"4/6/2024",14:11:00,32.52,10.21,15.97,0.9165187,0.6051563,41.1912,42.4852,9.97,5,"22/6/2024","14:09",19.9862,18.91,9.4392,-0.6001327
305,"Male","STURT","North","N","Room 3",71,"Upper",4,"Warm",3,"29/5/2024",10:52:00,34.15,15.77,10.58,0.9151216,0.9362867,37.7362,43.1042,8.95,5,"24/6/2024","9:45",21.0894,45.36,6.1485,-0.3656448
308,"Male","STURT","North","N","Room 3",72,"Lower",1,"Cool",7,"11/6/2024",13:17:00,32.68,16.7,13.98,0.9142159,0.7993071,39.7412,42.1573,9.48,6,"24/6/2024","16:45",21.3316,33.33,6.586,-0.4888231
344,"Male","MR","North","Y","Room 2",68,"Lower",2,"Warm",7,"5/6/2024",13:09:00,33.34,11.58,12.03,0.9051432,0.8915489,41.0572,43.4962,10.16,2,"19/6/2024","12:50",21.7956,25.61,8.6486,-0.5828205
384,"Male","NRKT","South","Y","Room 2",63,"Upper",1,"Cool",8,"11/6/2024",15:50:00,32.25,9.7,18.75,0.9024042,0.5304592,39.057,41.792,9.55,6,"24/6/2024","15:00",19.6003,28.75,8.4142,-0.4118789
403,"Male","NRKT","South","Y","Room 2",61,"Lower",1,"Cool",7,"5/6/2024",12:27:00,33.73,11.85,12.52,0.8984699,0.844025,40.052,43.205,9.47,2,"19/6/2024","14:13",20.028,20,10.4455,-0.50276
334,"Male","MR","North","Y","Room 3",73,"Upper",3,"Cool",2,"28/5/2024",10:14:00,32.25,14.85,12.48,0.8963833,0.8183089,33.9955,41.9478,9.7,NA,NA,NA,NA,NA,NA,NA
293,"Male","STURT","North","Y","Room 1",66,"Lower",2,"Warm",4,"29/5/2024",14:26:00,35.45,13.28,7.83,0.8888171,0.9841213,39.8241,42.085,6.64,3,"20/6/2024","11:42",19.3128,29.75,7.3376,-0.4488223
