"ID","Population","Clade","Bib","Room","Treatment","OCT_RTL","JAN_RTL","MAY_RTL","OCT_RTL_NEW","JAN_RTL_NEW","MAY_RTL_NEW","MSR_JAN","MTG_JAN","MTO_JAN","MSR_MAY","MTG_MAY","MTO_MAY","Mass_JAN","SVL_JAN","Mass_MAY","SVL_MAY","CHANGE_SVL","CHANGE_MASS","CHANGE_BCI","JAN","MAY","JAN_NEW","MAY_NEW"
398,"NGKT","South","Y","Room 2","Warm",NA,1.200687,1.002703,NA,0.336792178,0.491622053,930,1232,5065,672,1299,3501,6.728,56,8.057,59,3,1.329,-0.4437232,1.77877263,NA,0.069771898,NA
399,"NGKT","South","Y","Room 3","Warm",NA,1.017422,0.991614,NA,1.309798341,0.833498945,538,1166,12183,623,1569,4361,9.484,65,10.687,64,-1,1.203,-3.5440116,NA,NA,NA,NA
401,"NGKT","South","Y","Room 3","Warm",NA,0.990257,1.015249,NA,1.10847261,1.25433222,824,2277,10630,649,1678,4135,11.579,64,12.788,64,0,1.209,-2.0322991,0.963758795,1.136020131,0.519989154,0.805916516
402,"NGKT","South","N","Room 3","Warm",NA,1.325266,1.226916,NA,0.239076659,0.461747319,674,1597,4958,984,2041,5557,10.929,61,11.291,69,8,0.362,7.2389099,1.095558205,1.458075681,4.828557432,4.412903456
403,"NGKT","South","Y","Room 2","Cool",NA,1.032007,1.072036,NA,0.729851301,1.042536095,590,1227,3950,676,2031,4326,10.608,65,11.689,66,1,1.081,-1.0575992,1.156823716,1.114336962,12.7923437,0.603142072
404,"NGKT","South","Y","Room 1","Warm",NA,0.931716,1.347037,NA,0.094016808,0.23389196,456,843,2324,544,2436,7196,11.061,65,12.574,65,0,1.513,-2.6757009,0.834003644,1.02123061,2.189375217,2.003888667
405,"NGKT","South","N","Room 3","Warm",NA,0.946522,0.999948,NA,0.430569532,0.694091637,657,416,6479,1009,2592,8322,10.356,60,12.201,63,3,1.845,-0.4130604,1.803047462,1.546736754,0.0115731,0.504790282
406,"NGKT","South","Y","Room 3","Cool",NA,0.935094,0.994584,NA,1.119061045,0.972731922,710,2560,9822,524,1091,4608,10.219,65,10.306,67,2,0.087,1.5273489,1.620765927,1.79724249,0.001632767,0.480968
407,"NGKT","South","N","Room 1","Warm",NA,0.979387,0.985341,NA,1.707105403,0.95917469,474,567,5006,532,2383,14662,8.238,56,11.496,60,4,3.258,-2.3314502,1.263256452,1.298911726,2.582909243,1.164844836
408,"NGKT","South","N","Room 1","Cool",NA,1.236272,1.207261,NA,0.594614358,0.941981282,593,698,9840,595,1560,8444,10.184,65,11.789,65,0,1.605,-3.0498256,1.166958575,NA,1.97532428,NA
409,"NGKT","South","Y","Room 1","Warm",NA,0.963525,1.108478,NA,0.551558886,1.128093799,457,568,8717,820,1052,4070,10.842,60,10.312,62,2,-0.53,2.7265022,1.463013165,1.271388876,0.607118234,1.039923732
410,"NGKT","South","Y","Room 1","Warm",NA,0.893951,1.224099,NA,5.118513571,0.286120586,816,1936,15844,482,1232,3350,9.746,64,12.977,68,4,3.231,-1.9101234,1.14334969,1.5990863,0.709890409,0.212597117
411,"NGKT","South","N","Room 2","Warm",NA,1.182073,1.364391,NA,0.961596598,0.929033957,615,427,4435,700,4124,20103,8.629,60,9.143,61,1,0.514,-0.5912041,NA,NA,NA,NA
412,"NGKT","South","N","Room 1","Cool",NA,1.079453,1.072252,NA,0.489780304,0.715871582,493,738,4879,739,4570,20864,10.205,61,12.714,61,0,2.509,-4.5741625,NA,NA,NA,NA
